alpha,angles,avg,beta,dt,std
0.0,"[ 3.98131658  2.5332946   3.98141985  2.53337493  3.9814927   2.53342751
  3.98153512  2.53345233  3.98154711  2.53344939]",3.25743101174943,0.0,1.00990099009901,0.7240312612657372
0.0,"[ 0.42863488  0.42874749  0.4288027   0.42880048  0.42874084  0.4286238
  6.08823913  0.42850601  0.42866372  0.42876408]",0.9946523113702439,100000.0,1.00990099009901,1.6978622755017339
100000.0,"[ 3.06014945  3.45912358  3.06018636  3.45913272  3.06017012  3.45909484
  3.06010074  3.45900995  3.05997823  3.45887805]",3.2595824043246906,0.0,1.00990099009901,0.19946544266122326
0.0,"[ 3.40161728  3.11806126  3.11834863  3.11815266  3.40164234  3.11815544
  3.11834833  3.11805788  3.4016156   3.11823116]",3.2032230579844714,200000.0,1.00990099009901,0.12988464128183747
200000.0,"[ 2.25851232  4.26534378  2.25833405  4.26512604  4.26513092  2.2583386
  4.26534612  2.25851366  4.26540867  2.25849628]",3.2618550417035066,0.0,1.00990099009901,1.003416066856685
0.0,"[ 0.13732112  0.13762626  6.66002708  0.13729735  0.13775317  6.65991188
  0.13729402  6.65999373  0.13766537  0.13731113]",2.0942201103393896,300000.0,1.00990099009901,2.988989879161787
300000.0,"[ 1.57306234  4.95511931  4.95548942  1.57333117  4.95549108  4.95511463
  1.57305773  4.95550675  1.57332887  4.95547073]",3.602497203742422,0.0,1.00990099009901,1.656918296022835
0.0,"[ 3.67196949  3.67196223  3.67195381  3.67194423  3.67193347  3.67192155
  3.67190847  3.67189421  2.8531157   3.67188535]",3.590048852453042,400000.0,1.00990099009901,0.24564438552995518
400000.0,"[ 5.53255458  1.00149889  5.53252002  5.5325597   1.0014979   5.53251391
  5.53256468  1.00149662  5.53250766  5.53256952]",4.1732283475585294,0.0,1.00990099009901,2.076385042603447
0.0,"[ 0.67416371  7.20235322  7.20256969  0.67398118  7.20270262  0.67399563
  7.20254898  7.20238482  0.67413405  7.20266843]",4.591150232967925,500000.0,1.00990099009901,3.1982837279197787
500000.0,"[ 5.99969454  5.99953948  0.54009598  5.99948136  5.99969438  5.99954137
  0.54009548  5.99947913  5.99969421  5.99954325]",4.907685918239588,0.0,1.00990099009901,2.183795095555812
0.0,"[  4.19812832   4.19829406  10.72974709   4.19839087   4.19815836
   4.19813552   4.19832239  10.72975606   4.19835795   4.19814655]",5.504543718041986,600000.0,1.00990099009901,2.6126039311418903
600000.0,"[ 6.35940685  6.3594769   6.35947037  6.35938728  6.35922768  0.18633481
  6.35931704  6.3594384   6.35948321  6.35945144]",5.742099398310993,0.0,1.00990099009901,1.851921531397981
0.0,"[ 7.71972272  7.7196249   7.71940571  1.18492876  7.71958559  7.7197111
  7.71971516  7.71959778  1.18494525  7.71938671]",6.412662366978196,700000.0,1.00990099009901,2.6138626846348276
700000.0,"[ 6.61460302  6.61461289  6.61462195  6.61463021  6.61463767  6.61464433
  6.61465018  6.61465523  6.61465948  6.61466293]",6.614637790886555,0.0,1.00990099009901,1.933964328933336e-05
0.0,"[ 11.23896693   4.70077557   4.70090213  11.23884499   4.70070411
  11.23903197   4.70058805  11.23912133   4.70055401  11.23911304]",7.969860213360048,800000.0,1.00990099009901,3.2691554410003736
800000.0,"[  6.76786669   6.76780491   6.76776426   6.76774474   6.76774637
   6.76776913   6.76781303   6.76787805  13.32748988   6.76794959]",7.423782664032754,0.0,1.00990099009901,1.9679024049023772
0.0,"[  8.21515057   8.21520054   8.21526591  14.75675179   8.21526418
   8.21519918   8.21514957   8.21511537   8.21509658   8.21509321]",8.869328688236958,900000.0,1.00990099009901,1.9624743666374498
900000.0,"[  6.82104684   6.82109378  13.38893705   6.82132011   6.82104811
   6.82109149  13.38893317   6.82132497   6.82104942   6.82108925]",8.134693419076214,0.0,1.00990099009901,2.627120845204498
0.0,"[ 11.72884819  11.72885418   5.18321498  11.72861585  11.7289105
  11.72871218   5.18316338  11.72879776  11.72888813   5.18330014]",9.765130528147484,1000000.0,1.00990099009901,2.999560511654268
1000000.0,"[  6.77680743  13.35339015   6.77666196  13.35342717   6.77675505
   6.77693813  13.35327547   6.77669349  13.35345274   6.77668737]",9.407408895342027,0.0,1.00990099009901,3.221877127085867
0.0,"[ 0.38228963  0.25933854  0.38228941  0.25933823  0.25933846  0.3822896
  0.25933858  0.38228955  0.25933839  0.25933833]",0.3085188723051311,0.0,0.100990099009901,0.060233503836048204
0.0,"[ 0.38228963  0.25933854  0.38228941  0.25933823  0.25933846  0.3822896
  0.25933858  0.38228955  0.25933839  0.25933833]",0.3085188723051311,0.0,0.100990099009901,0.060233503836048204
0.0,"[ 0.56776675  1.20939725  1.20939754  0.56776674  1.20939726  1.20939753
  0.56776673  1.20939728  1.20939753  0.56776672]",0.9527451310805605,100000.0,0.100990099009901,0.3143335464878128
100000.0,"[ 1.16078669  0.51915428  1.16078692  1.16078696  0.51915436  1.16078659
  1.16078697  1.16078689  0.51915425  1.16078674]",0.9682970645206955,0.0,0.100990099009901,0.2940329617139263
0.0,"[ 2.15247028  1.51083685  2.15247025  2.15247046  2.15247039  1.51083696
  2.15247006  2.1524704   2.15247045  2.15247024]",2.0241436325819033,200000.0,0.100990099009901,0.2566533653483122
200000.0,"[ 1.94632812  1.94632812  1.94632813  1.94632815  1.94632818  1.94632822
  1.94632826  2.58796556  1.94632828  1.94632823]",2.010491925644405,0.0,0.100990099009901,0.19249121243713208
0.0,"[ 3.08908485  3.08908482  3.08908478  3.08908473  3.08908467  2.44744854
  3.08908471  3.08908477  3.08908481  3.08908484]",3.0249211538671026,300000.0,0.100990099009901,0.19249087085143526
300000.0,"[ 3.26110648  2.61946314  3.26110651  2.61946336  3.26110618  3.26110648
  2.61946314  3.26110651  2.61946335  3.2611062 ]",3.0044491341808417,0.0,0.100990099009901,0.314339662710375
0.0,"[ 4.01977656  4.01977658  4.01977662  4.01977668  4.01977675  4.66141606
  4.01977672  4.01977665  4.0197766   4.01977657]",4.083940581000573,400000.0,0.100990099009901,0.19249182580602003
400000.0,"[ 4.46687505  3.82522621  3.8252259   3.82522624  4.46687502  3.82522592
  3.8252261   4.46687512  3.82522596  3.825226  ]",4.01772075281206,0.0,0.100990099009901,0.2940405184667113
0.0,"[ 4.94509046  5.58673341  4.94509037  4.94509034  5.58673339  4.9450905
  4.94509028  4.94509068  5.58673325  4.94509029]",5.1375832970873505,500000.0,0.100990099009901,0.2940377318354507
500000.0,"[ 5.56690938  4.92525406  4.92525389  4.92525388  4.92525403  5.56690938
  4.92525407  4.92525389  4.92525388  4.92525402]",5.053585048365939,0.0,0.100990099009901,0.2566621642821048
0.0,"[ 6.50722693  5.86558027  6.50722695  5.86558029  6.5072269   5.86558039
  6.50722678  5.86558057  6.50722659  6.50722677]",6.250568243835376,600000.0,0.100990099009901,0.3143412754482908
600000.0,"[ 5.92271602  5.92271579  5.92271591  6.56437837  5.92271596  5.92271578
  5.92271596  6.56437837  5.9227159   5.92271579]",6.051048385085027,0.0,0.100990099009901,0.25666499434814527
0.0,"[ 7.423461    7.42346105  7.42346096  7.42346073  6.78181108  7.42346095
  7.42346105  7.42346101  7.42346082  6.78181102]",7.295130966251172,700000.0,0.100990099009901,0.2566599587277815
700000.0,"[ 6.82067881  7.46234919  6.82067881  7.46234919  6.82067881  7.46234918
  6.82067882  7.46234918  6.82067882  7.46234917]",7.141513996178984,0.0,0.100990099009901,0.3208351833013706
0.0,"[ 8.33601126  8.97766475  8.33601121  8.33601113  8.33601108  8.33601106
  8.33601107  8.33601111  8.33601119  8.97766473]",8.464341858067735,800000.0,0.100990099009901,0.25666144105359856
800000.0,"[ 8.2637912   8.26379116  8.26379111  8.26379102  7.62211277  8.26379108
  8.26379115  8.26379119  8.2637912   8.2637912 ]",8.199623308338126,0.0,0.100990099009901,0.1925035113681588
0.0,"[ 9.88712192  9.2454641   9.88712206  9.24546403  9.88712209  9.24546406
  9.88712199  9.24546418  9.24546434  9.88712184]",9.566293060327713,900000.0,0.100990099009901,0.32082891979108774
900000.0,"[ 9.61326861  8.97158067  9.61326847  8.97158083  8.97158074  9.61326855
  8.97158062  9.61326864  8.9715806   9.61326861]",9.292424633762304,0.0,0.100990099009901,0.32084394090892937
0.0,"[ 10.15241955  10.79408142  10.79408155  10.79408155  10.79408141
  10.15241954  10.79408135  10.79408152  10.79408156  10.79408148]",10.665749092549058,1000000.0,0.100990099009901,0.256664774421312
1000000.0,"[ 10.87190013  10.23020216  10.23020207  10.23020204  10.23020207
  10.23020216  10.87190013  10.23020222  10.2302021   10.23020204]",10.358541711368638,0.0,0.100990099009901,0.25667920762606544
0.0,"[ 0.01972582  0.01972582  0.04442681  0.01972582  0.01972582  0.04442681
  0.01972582  0.01972582  0.01972582  0.04442681]",0.027136118691467953,0.0,0.0100990099009901,0.011319412492739864
0.0,"[ 0.01972582  0.01972582  0.04442681  0.01972582  0.01972582  0.04442681
  0.01972582  0.01972582  0.01972582  0.04442681]",0.027136118691467953,0.0,0.0100990099009901,0.011319412492739864
0.0,"[ 0.99451821  0.99451821  0.99451821  0.99451821  0.99451821  0.99451821
  0.99451821  0.99451821  1.05867084  0.99451821]",1.0009334692721719,100000.0,0.0100990099009901,0.019245789935076706
100000.0,"[ 1.0098159   0.94566327  1.0098159   1.0098159   1.0098159   0.94566327
  1.0098159   1.0098159   1.0098159   1.0098159 ]",0.9969853755521709,0.0,0.0100990099009901,0.02566105411286439
0.0,"[ 2.00178434  2.00178434  2.00178434  2.06593698  2.00178434  2.00178434
  2.00178434  2.00178434  2.06593698  2.00178434]",2.0146148675385334,200000.0,0.0100990099009901,0.025661054474702683
200000.0,"[ 1.98764093  1.98764093  1.98764093  2.05179357  1.98764093  1.98764093
  1.98764093  1.98764093  1.98764093  2.05179357]",2.000471458342869,0.0,0.0100990099009901,0.02566105611101749
0.0,"[ 3.06675323  3.00260059  3.06675323  3.00260059  3.06675323  3.06675323
  3.00260059  3.06675323  3.06675323  3.00260059]",3.0410921697531608,300000.0,0.0100990099009901,0.0314282463897844
300000.0,"[ 3.04555833  2.98140568  2.98140568  3.04555833  2.98140568  3.04555833
  2.98140568  3.04555833  2.98140568  3.04555833]",3.0134820071958535,0.0,0.0100990099009901,0.03207632297449554
0.0,"[ 4.06165589  4.12580854  4.06165589  4.12580854  4.06165589  4.06165589
  4.12580854  4.06165589  4.06165589  4.12580854]",4.087316949941796,400000.0,0.0100990099009901,0.031428247916646584
400000.0,"[ 4.05865097  3.99449832  4.05865097  3.99449832  4.05865097  4.05865097
  3.99449832  4.05865097  3.99449832  4.05865097]",4.032989906268135,0.0,0.0100990099009901,0.0314282525613881
0.0,"[ 5.17949549  5.11534284  5.11534284  5.17949549  5.11534284  5.17949549
  5.11534284  5.17949549  5.11534284  5.17949549]",5.147419162861418,500000.0,0.0100990099009901,0.03207632285217468
500000.0,"[ 5.09434902  5.03019637  5.09434902  5.03019637  5.09434902  5.03019637
  5.09434902  5.03019637  5.09434902  5.03019637]",5.062272695207875,0.0,0.0100990099009901,0.032076329150778626
0.0,"[ 6.22836884  6.22836884  6.22836884  6.22836884  6.16421619  6.22836884
  6.22836884  6.22836884  6.22836884  6.22836884]",6.221953578103943,600000.0,0.0100990099009901,0.01924579469654185
600000.0,"[ 6.09167157  6.09167157  6.09167157  6.09167157  6.09167157  6.09167157
  6.09167157  6.09167157  6.09167157  6.09167157]",6.0916715652174265,0.0,0.0100990099009901,4.9356356090911564e-11
0.0,"[ 7.33714626  7.2729936   7.33714626  7.33714626  7.2729936   7.33714626
  7.2729936   7.33714626  7.2729936   7.33714626]",7.311485194365346,700000.0,0.0100990099009901,0.03142825300732998
700000.0,"[ 7.11784171  7.18199439  7.11784171  7.11784171  7.18199439  7.11784171
  7.18199439  7.11784171  7.11784171  7.18199439]",7.143502783391126,0.0,0.0100990099009901,0.03142826288522028
0.0,"[ 8.44225102  8.44225102  8.37809836  8.44225102  8.37809836  8.44225102
  8.44225102  8.37809836  8.44225102  8.37809836]",8.416589956916745,800000.0,0.0100990099009901,0.031428254879338695
800000.0,"[ 8.17583303  8.23998572  8.17583303  8.17583303  8.23998572  8.17583303
  8.23998572  8.17583303  8.17583303  8.23998572]",8.201494107164873,0.0,0.0100990099009901,0.031428267009748385
0.0,"[ 9.54427078  9.54427078  9.54427078  9.54427078  9.54427078  9.54427078
  9.54427078  9.54427078  9.54427078  9.54427078]",9.5442707826638,900000.0,0.0100990099009901,4.616170682372851e-11
900000.0,"[ 9.26852632  9.26852632  9.26852632  9.26852632  9.26852632  9.26852632
  9.26852632  9.26852632  9.26852632  9.26852632]",9.268526319296711,0.0,0.0100990099009901,3.6733609390190156e-11
0.0,"[ 10.6438057   10.70795837  10.6438057   10.70795837  10.70795837
  10.6438057   10.70795837  10.6438057   10.70795837  10.70795837]",10.68229730108475,1000000.0,0.0100990099009901,0.031428258891804096
1000000.0,"[ 10.39871354  10.33456084  10.33456084  10.33456084  10.33456084
  10.33456084  10.33456084  10.33456084  10.33456084  10.33456084]",10.340976105630604,0.0,0.0100990099009901,0.01924581022175958
